Stock,Previous Close,Opening Price,Post Mentions,Comment Mentions,Sentiment score,Change
FL,58.14,58.69,0,2,0.0,+0.23 (+0.40%)
FMS,0.0,0.0,0,1,1.0,NA
FORD,2.87,2.82,0,1,0.0,-0.1300 (-4.53%)
FVE,0.0,0.0,0,1,1.0,NA
GDYN,18.8,18.9,0,1,1.0,+1.77 (+9.41%)
GE,12.7,12.8,0,1,0,+0.01 (+0.08%)
GM,55.64,55.31,0,1,0.0,-0.70 (-1.26%)
GME,178.85,181.0,1,7,0.5,+1.51 (+0.84%)
GNRC,444.59,441.71,0,1,0,+5.05 (+1.14%)
GOEV,8.44,8.4,0,1,0,-0.24 (-2.84%)
GOOG,2666.57,2705.2,0,2,0,+89.75 (+3.37%)
GOOGL,2568.43,2608.61,1,1,1.0,+91.87 (+3.58%)
HASI,53.83,54.83,0,1,1.0,+1.80 (+3.34%)
HCA,246.79,248.71,0,2,0,+1.67 (+0.68%)
HD,326.66,329.47,0,2,0,+6.18 (+1.89%)
HIMX,13.49,13.46,1,0,0,-0.29 (-2.15%)
HR,0.0,0.0,0,1,0.0,NA
HYLN,9.5,9.4,0,2,0.0,-0.20 (-2.11%)
IBKR,63.14,62.89,0,1,0,-1.86 (-2.95%)
IBM,140.71,140.96,0,1,0,+0.63 (+0.45%)
INTC,55.96,54.58,1,12,0.5,-2.96 (-5.29%)
IP,57.86,58.05,0,1,1.0,+0.22 (+0.38%)
IRR,0.0,0.0,0,1,0,NA
JD,75.91,72.95,0,9,1.0,-3.62 (-4.77%)
JPM,150.93,151.48,0,1,1.0,-0.29 (-0.19%)
LAC,13.65,13.67,1,6,0.5,-0.64 (-4.69%)
LEAP,0.0,0.0,0,1,0,NA
LIVX,3.66,3.5985,1,0,0,-0.0200 (-0.55%)
LL,18.79,18.63,1,0,0,+0.22 (+1.17%)
LPL,10.64,10.7,1,0,0,+0.04 (+0.42%)
LRCX,635.93,641.72,1,1,0,+4.34 (+0.68%)
M,16.96,16.98,1,1,1.0,-0.30 (-1.77%)
MA,382.16,385.09,0,1,0,+11.10 (+2.90%)
MAR,138.5,138.77,0,1,0,+0.68 (+0.49%)
MAXN,15.85,15.85,1,1,0,-0.51 (-3.22%)
MBIO,2.96,3.0,1,0,0,-0.0300 (-1.01%)
MC,58.12,58.7,0,1,1.0,+0.34 (+0.58%)
MDC,49.53,50.06,0,1,0,+1.79 (+3.61%)
MGM,39.23,39.43,1,0,0,-0.33 (-0.84%)
MNR,0.0,0.0,1,0,0,NA
MODV,0.0,0.0,1,1,0,NA
MOXC,27.97,26.96,0,1,1.0,-10.36 (-37.04%)
MRNA,323.48,330.9,0,3,0.5,+25.35 (+7.84%)
MRO,11.7,11.66,0,1,0,-0.20 (-1.71%)
MS,95.57,96.28,0,1,1.0,-1.02 (-1.07%)
MSCI,572.15,573.43,1,0,0,+6.80 (+1.19%)
MSFT,286.14,287.37,1,7,0.33,+3.53 (+1.23%)
MU,75.53,75.93,0,7,1.0,+0.41 (+0.54%)
MWK,0.0,0.0,0,1,0,NA
NC,0.0,0.0,0,6,0.33,NA
NCR,45.42,45.49,0,1,1.0,-1.46 (-3.21%)
NEE,76.12,76.53,1,2,1.0,+1.08 (+1.42%)
NEP,74.74,71.9,1,1,0,-0.44 (-0.59%)
NET,113.77,114.05,1,8,0.75,+3.47 (+3.05%)
NEXT,4.6,4.54,1,0,0,-0.2400 (-5.22%)
NIO,46.07,43.67,0,10,0.75,-2.08 (-4.51%)
NIU,28.6,28.1,1,0,0,-0.70 (-2.45%)
NLS,15.8,15.85,1,0,0,-0.36 (-2.28%)
NM,5.19,5.21,1,0,0,-0.5100 (-9.83%)
NPV,0.0,0.0,0,1,0,NA
NRZ,9.68,9.63,0,4,1.0,-0.13 (-1.34%)
NUE,93.85,94.95,0,1,1.0,+0.48 (+0.51%)
NVDA,195.94,196.56,2,2,0,-0.36 (-0.18%)
O,69.91,70.0,0,1,0,+0.57 (+0.82%)
OI,0.0,0.0,0,1,0,NA
OSK,117.64,118.8,0,1,0,+2.63 (+2.24%)
PEG,60.21,60.46,2,0,0,+1.01 (+1.68%)
PFE,41.47,41.46,0,1,1.0,+0.21 (+0.51%)
PINS,72.71,75.66,0,1,0,+4.20 (+5.78%)
PLL,55.69,56.75,0,1,0,-3.37 (-6.05%)
PLTR,22.07,22.01,0,8,0.5,-0.26 (-1.18%)
PLUG,27.33,27.72,0,1,0,-0.52 (-1.90%)
PM,97.24,97.76,0,3,1.0,+1.16 (+1.19%)
PSTH,20.81,20.59,1,0,0,-0.25 (-1.20%)
PSXP,37.15,37.23,1,0,0,-0.53 (-1.43%)
PT,0.9306,0.9424,1,1,0,+0.0794 (+8.53%)
PYPL,303.69,305.76,0,4,1.0,+4.84 (+1.59%)
QS,23.42,23.02,0,1,0,-0.98 (-4.18%)
REAL,17.21,17.32,0,1,1.0,-0.18 (-1.05%)
RICK,59.17,60.07,0,3,0.5,+2.55 (+4.31%)
RKT,17.62,17.64,1,0,0,-0.28 (-1.59%)
RSI,9.9,9.92,1,1,1.0,-0.20 (-2.02%)
SA,0.0,0.0,0,1,0,NA
SAM,947.54,725.0,2,3,1.0,-246.54 (-26.02%)
SBUX,122.63,124.55,0,1,1.0,+3.34 (+2.72%)
SCKT,5.8,14.3,2,0,0,+2.55 (+43.97%)
SCPL,16.98,16.82,1,0,0,-0.09 (-0.53%)
SE,293.79,294.07,1,6,0.67,+3.88 (+1.32%)
SFT,8.62,8.66,1,0,0,-0.17 (-1.97%)
SIX,41.12,40.63,0,1,0,-0.80 (-1.95%)
SMED,0.0,0.0,1,0,0,NA
SNA,221.58,223.03,0,1,1.0,+3.01 (+1.36%)
SNAP,62.97,74.14,0,2,1.0,+15.00 (+23.82%)
SOL,7.39,7.24,0,2,1.0,-0.41 (-5.55%)
SOS,2.65,2.57,0,1,1.0,-0.1700 (-6.42%)
SPCE,30.82,30.5,1,0,0,-1.24 (-4.02%)
SPLK,135.53,136.67,1,0,0,-2.47 (-1.82%)
SPWR,24.55,24.53,1,1,0,-0.80 (-3.26%)
SQ,260.59,261.85,0,2,0,+3.41 (+1.31%)
SSD,0.0,0.0,0,1,1.0,NA
T,28.01,27.97,0,2,0,+0.14 (+0.50%)
TA,29.24,29.42,0,2,0,+1.52 (+5.20%)
TAL,20.52,8.77,2,4,0.0,-14.52 (-70.76%)
TDOC,152.87,151.95,0,1,0,-1.28 (-0.84%)
TELL,3.73,3.75,0,1,0,-0.1000 (-2.68%)
TGT,257.01,257.78,0,2,1.0,+4.02 (+1.56%)
THC,70.0,71.42,0,1,0,+1.63 (+2.33%)
TREE,204.93,203.21,1,0,0,-7.41 (-3.62%)
TSLA,649.26,646.36,0,3,1.0,-5.88 (-0.91%)
TSM,116.56,117.65,1,3,1.0,+0.23 (+0.20%)
TTWO,171.28,171.15,0,2,1.0,+2.01 (+1.17%)
TWNK,0.0,0.0,0,1,0,NA
TWTR,69.57,72.2,0,2,1.0,+2.12 (+3.05%)
TX,44.79,45.52,0,1,0.0,+1.57 (+3.51%)
U,104.2,104.5,0,1,0,+1.30 (+1.25%)
UMC,9.43,9.41,0,1,1.0,0.00 (0.00%)
VIAC,40.87,40.98,0,2,0.5,+0.12 (+0.29%)
VIE,0.0,0.0,0,1,0,NA
WBA,46.49,46.78,0,1,0,+0.04 (+0.09%)
WISH,9.5,9.37,0,2,0,-0.32 (-3.37%)
WMB,25.26,25.21,1,0,0,-0.11 (-0.44%)
WMT,141.27,141.52,1,0,0,+1.16 (+0.82%)
WOOF,20.43,20.19,1,0,0,+0.54 (+2.64%)
WORK,45.16,45.16,1,0,0,+0.04 (+0.09%)
XPEL,98.66,100.41,0,1,1.0,+2.74 (+2.78%)
XPEV,43.27,41.99,0,3,1.0,-2.27 (-5.25%)
XPO,140.32,141.46,0,2,1.0,+3.30 (+2.35%)
Y,0.0,0.0,0,1,0,NA
YUM,120.26,120.49,1,0,0,+2.53 (+2.10%)
Z,110.63,111.09,0,3,0,+1.01 (+0.91%)
ZG,111.5,111.77,0,1,1.0,+1.78 (+1.60%)
ZTO,0.0,0.0,1,0,0,NA
ZTS,200.54,201.74,0,1,0,+3.05 (+1.52%)
