Stock,Previous Close,Opening Price,Post Mentions,Comment Mentions,Sentiment score,Change
OMF,59.58,60.56,0,1,1.0,+1.93 (+3.24%)
OSK,117.64,118.8,0,1,1.0,+2.63 (+2.24%)
PBH,0.0,0.0,0,1,1.0,NA
PCG,9.33,9.39,0,1,0,-0.11 (-1.18%)
PDS,34.29,33.18,0,1,1.0,-2.67 (-7.79%)
PI,47.32,47.41,0,1,0,-0.04 (-0.08%)
PKI,160.06,160.76,0,1,1.0,+4.28 (+2.67%)
PM,97.24,97.76,0,5,0,+1.16 (+1.19%)
PRFT,0.0,0.0,0,1,0,NA
PRU,99.45,100.33,0,1,0.0,+0.19 (+0.19%)
PT,0.9306,0.9424,0,1,0,+0.0794 (+8.53%)
PTON,119.67,119.05,0,1,1.0,+1.88 (+1.57%)
PTR,43.23,42.72,0,1,0,-0.99 (-2.29%)
PYPL,303.69,305.76,0,1,0,+4.84 (+1.59%)
QCOM,142.44,143.45,0,3,1.0,+2.44 (+1.71%)
QSR,64.91,65.28,1,1,0.0,+1.02 (+1.57%)
R,76.33,75.31,0,1,0,-1.75 (-2.29%)
REAL,17.21,17.32,0,1,1.0,-0.18 (-1.05%)
RGR,75.61,76.05,0,1,0.0,+0.74 (+0.98%)
RIO,82.08,82.69,0,1,0,+0.69 (+0.84%)
RLH,0.0,0.0,0,1,0,NA
RNG,272.37,274.6,0,1,1.0,+4.18 (+1.53%)
ROKU,420.65,426.87,0,1,1.0,+53.00 (+12.60%)
RSI,9.9,9.92,1,1,0,-0.20 (-2.02%)
SAM,947.54,725.0,0,1,0,-246.54 (-26.02%)
SBSW,16.32,16.41,0,1,0,-0.21 (-1.29%)
SC,40.77,40.75,0,1,0,+0.09 (+0.22%)
SCHN,50.7,50.43,0,1,0.0,-0.76 (-1.50%)
SE,293.79,294.07,0,1,0.0,+3.88 (+1.32%)
SEER,32.81,33.53,0,1,1.0,+1.08 (+3.29%)
SF,0.0,0.0,0,1,0,NA
SFT,8.62,8.66,0,1,0,-0.17 (-1.97%)
SHOP,1594.09,1608.0,0,2,0,+49.23 (+3.09%)
SI,105.32,106.34,0,1,0,-0.28 (-0.27%)
SLS,8.99,8.99,0,1,0,-0.21 (-2.34%)
SNA,221.58,223.03,0,1,1.0,+3.01 (+1.36%)
SNAP,62.97,74.14,0,2,1.0,+15.00 (+23.82%)
SNDL,0.825,0.8273,0,1,0.0,-0.0280 (-3.39%)
SP,30.75,30.85,0,1,1.0,0.00 (0.00%)
SPCE,30.82,30.5,0,2,0.0,-1.24 (-4.02%)
SWBI,23.57,23.58,0,1,0,-0.19 (-0.81%)
T,28.01,27.97,0,3,0,+0.14 (+0.50%)
TD,65.56,66.01,2,2,1.0,+0.25 (+0.38%)
TDA,0.0,0.0,1,3,0.5,NA
TGNA,18.37,18.3,0,1,1.0,+0.02 (+0.14%)
THCB,10.2,10.44,0,1,1.0,-0.20 (-1.96%)
TITN,31.7,31.77,0,1,0,-1.00 (-3.15%)
TMO,524.5,527.21,0,7,1.0,+7.76 (+1.48%)
TPL,1524.04,1520.0,0,1,1.0,-15.36 (-1.01%)
TRP,48.59,48.78,0,1,0.0,-0.05 (-0.10%)
TSCO,182.42,182.98,0,1,1.0,+5.28 (+2.89%)
TSLA,649.26,646.36,1,24,0.62,-5.88 (-0.91%)
TSM,116.56,117.65,0,2,0,+0.23 (+0.20%)
TTM,20.4,20.52,0,2,0,+0.16 (+0.78%)
TWLO,405.51,406.35,0,1,0.0,+4.33 (+1.07%)
TWTR,69.57,72.2,0,1,0,+2.12 (+3.05%)
TXN,182.89,184.19,1,1,0,+3.96 (+2.17%)
UCTT,51.41,51.78,0,1,0,+0.47 (+0.91%)
UI,308.49,310.56,0,2,0,-7.17 (-2.32%)
UNM,27.37,27.69,0,1,0.0,+0.16 (+0.58%)
UNP,219.54,220.5,0,1,1.0,+0.61 (+0.28%)
UPS,213.23,212.99,0,1,1.0,-1.59 (-0.75%)
V,244.14,246.76,0,2,0.0,+4.88 (+2.00%)
VC,111.05,110.55,0,1,0,-4.84 (-4.36%)
VERY,8.53,8.46,0,3,0,+0.51 (+5.93%)
VFF,9.5,9.58,0,1,0,-0.01 (-0.11%)
VIVO,18.34,18.47,0,1,1.0,+0.60 (+3.27%)
VRT,27.25,27.42,0,1,0.0,-0.59 (-2.17%)
VRTX,196.02,196.72,0,1,0.0,+4.48 (+2.29%)
VSTO,39.07,39.02,0,1,1.0,+0.23 (+0.59%)
WDFC,233.72,232.92,0,1,0,+5.51 (+2.36%)
WH,0.0,0.0,0,1,1.0,NA
WIX,303.09,301.81,0,1,0.0,-0.58 (-0.19%)
WM,144.98,145.03,0,5,0.25,+1.41 (+0.97%)
WOOF,20.43,20.19,0,1,0,+0.54 (+2.64%)
XAIR,8.21,8.15,0,1,0,-0.21 (-2.56%)
XOM,57.11,57.29,2,2,1.0,-0.07 (-0.12%)
Y,0.0,0.0,1,6,1.0,NA
YUM,120.26,120.49,1,0,0,+2.53 (+2.10%)
Z,110.63,111.09,0,2,1.0,+1.01 (+0.91%)
ZG,111.5,111.77,0,1,0,+1.78 (+1.60%)
